season,holiday,workingday,weather,temp,humidity,windspeed,count,hour,month,day_of_week,year
1.0,0.0,0.0,1.0,9.84,81.0,0.0,16.0,0.0,1.0,5.0,2011.0
1.0,0.0,0.0,1.0,9.02,80.0,0.0,40.0,1.0,1.0,5.0,2011.0
1.0,0.0,0.0,1.0,9.02,80.0,0.0,32.0,2.0,1.0,5.0,2011.0
1.0,0.0,0.0,1.0,9.84,75.0,0.0,13.0,3.0,1.0,5.0,2011.0
1.0,0.0,0.0,1.0,9.84,75.0,0.0,1.0,4.0,1.0,5.0,2011.0
1.0,0.0,0.0,2.0,9.84,75.0,6.0032,1.0,5.0,1.0,5.0,2011.0
1.0,0.0,0.0,1.0,9.02,80.0,0.0,2.0,6.0,1.0,5.0,2011.0
1.0,0.0,0.0,1.0,8.2,86.0,0.0,3.0,7.0,1.0,5.0,2011.0
1.0,0.0,0.0,1.0,9.84,75.0,0.0,8.0,8.0,1.0,5.0,2011.0
1.0,0.0,0.0,1.0,13.12,76.0,0.0,14.0,9.0,1.0,5.0,2011.0
1.0,0.0,0.0,1.0,15.58,76.0,16.9979,36.0,10.0,1.0,5.0,2011.0
1.0,0.0,0.0,1.0,14.76,81.0,19.0012,56.0,11.0,1.0,5.0,2011.0
1.0,0.0,0.0,1.0,17.22,77.0,19.0012,84.0,12.0,1.0,5.0,2011.0
1.0,0.0,0.0,2.0,18.86,72.0,19.9995,94.0,13.0,1.0,5.0,2011.0
1.0,0.0,0.0,2.0,18.86,72.0,19.0012,106.0,14.0,1.0,5.0,2011.0
1.0,0.0,0.0,2.0,18.04,77.0,19.9995,110.0,15.0,1.0,5.0,2011.0
1.0,0.0,0.0,2.0,17.22,82.0,19.9995,93.0,16.0,1.0,5.0,2011.0
1.0,0.0,0.0,2.0,18.04,82.0,19.0012,67.0,17.0,1.0,5.0,2011.0
1.0,0.0,0.0,3.0,17.22,88.0,16.9979,35.0,18.0,1.0,5.0,2011.0
1.0,0.0,0.0,3.0,17.22,88.0,16.9979,37.0,19.0,1.0,5.0,2011.0
1.0,0.0,0.0,2.0,16.4,87.0,16.9979,36.0,20.0,1.0,5.0,2011.0
1.0,0.0,0.0,2.0,16.4,87.0,12.998,34.0,21.0,1.0,5.0,2011.0
1.0,0.0,0.0,2.0,16.4,94.0,15.0013,28.0,22.0,1.0,5.0,2011.0
1.0,0.0,0.0,2.0,18.86,88.0,19.9995,39.0,23.0,1.0,5.0,2011.0
1.0,0.0,0.0,2.0,18.86,88.0,19.9995,17.0,0.0,1.0,6.0,2011.0
1.0,0.0,0.0,2.0,18.04,94.0,16.9979,17.0,1.0,1.0,6.0,2011.0
1.0,0.0,0.0,2.0,17.22,100.0,19.0012,9.0,2.0,1.0,6.0,2011.0
1.0,0.0,0.0,2.0,18.86,94.0,12.998,6.0,3.0,1.0,6.0,2011.0
1.0,0.0,0.0,2.0,18.86,94.0,12.998,3.0,4.0,1.0,6.0,2011.0
1.0,0.0,0.0,3.0,17.22,77.0,19.9995,2.0,6.0,1.0,6.0,2011.0
1.0,0.0,0.0,2.0,16.4,76.0,12.998,1.0,7.0,1.0,6.0,2011.0
1.0,0.0,0.0,3.0,16.4,71.0,15.0013,8.0,8.0,1.0,6.0,2011.0
1.0,0.0,0.0,2.0,15.58,76.0,15.0013,20.0,9.0,1.0,6.0,2011.0
1.0,0.0,0.0,2.0,14.76,81.0,15.0013,53.0,10.0,1.0,6.0,2011.0
1.0,0.0,0.0,2.0,14.76,71.0,16.9979,70.0,11.0,1.0,6.0,2011.0
1.0,0.0,0.0,2.0,14.76,66.0,19.9995,93.0,12.0,1.0,6.0,2011.0
1.0,0.0,0.0,2.0,14.76,66.0,8.9981,75.0,13.0,1.0,6.0,2011.0
1.0,0.0,0.0,3.0,14.76,76.0,12.998,59.0,14.0,1.0,6.0,2011.0
1.0,0.0,0.0,3.0,13.94,81.0,11.0014,74.0,15.0,1.0,6.0,2011.0
1.0,0.0,0.0,3.0,13.94,71.0,11.0014,76.0,16.0,1.0,6.0,2011.0
1.0,0.0,0.0,1.0,13.94,57.0,12.998,65.0,17.0,1.0,6.0,2011.0
1.0,0.0,0.0,2.0,14.76,46.0,22.0028,53.0,18.0,1.0,6.0,2011.0
1.0,0.0,0.0,1.0,13.12,42.0,30.0026,30.0,19.0,1.0,6.0,2011.0
1.0,0.0,0.0,1.0,12.3,39.0,23.9994,22.0,20.0,1.0,6.0,2011.0
